Date|Open|High|Low|Close|Adj Close|Volume|Stock Return
2018-10-17| 108.38 | 110.80 | 108.23 | 109.83 | 107.357903 | 18,794,500 | 0.011078 
2018-10-18| 109.02 | 109.84 | 107.81 | 108.09 | 105.657059 | 17,582,500 | (0.015970)
2018-10-19| 107.65 | 109.22 | 107.27 | 107.91 | 105.481110 | 15,234,500 | (0.001667)
2018-10-22| 108.15 | 108.34 | 106.11 | 106.36 | 103.966003 | 16,199,100 | (0.014468)
2018-10-23| 104.20 | 106.16 | 103.70 | 105.25 | 102.880989 | 21,407,500 | (0.010491)
2018-10-24| 104.76 | 105.03 | 102.91 | 103.29 | 100.965103 | 23,168,900 | (0.018798)
2018-10-25| 104.18 | 105.90 | 103.72 | 104.86 | 102.499771 | 17,464,700 | 0.015086 
2018-10-26| 104.00 | 104.56 | 102.73 | 103.42 | 101.092171 | 19,174,900 | (0.013828)
2018-10-29| 104.46 | 106.63 | 103.70 | 104.85 | 102.489990 | 18,445,200 | 0.013732 
2018-10-30| 105.71 | 106.98 | 104.86 | 106.70 | 104.298347 | 18,019,700 | 0.017490 
2018-10-31| 108.08 | 110.48 | 107.79 | 109.02 | 106.566116 | 20,860,000 | 0.021510 
2018-11-01| 109.62 | 110.22 | 108.32 | 108.98 | 106.527031 | 13,065,000 | (0.000367)
2018-11-02| 109.90 | 110.81 | 107.49 | 108.38 | 105.940529 | 19,009,200 | (0.005521)
2018-11-05| 108.61 | 109.29 | 108.42 | 109.09 | 106.634544 | 10,276,400 | 0.006530 
2018-11-06| 108.67 | 109.67 | 107.76 | 109.60 | 107.133072 | 10,825,000 | 0.004664 
2018-11-07| 110.37 | 111.73 | 109.35 | 111.48 | 108.970764 | 12,679,600 | 0.017008 
2018-11-08| 111.01 | 112.93 | 111.00 | 112.38 | 109.850502 | 11,662,500 | 0.008041 
2018-11-09| 112.23 | 112.36 | 110.83 | 111.29 | 108.785027 | 10,432,200 | (0.009747)
2018-11-12| 111.42 | 111.94 | 108.60 | 108.95 | 106.497704 | 13,279,700 | (0.021250)
2018-11-13| 109.10 | 111.12 | 109.10 | 109.59 | 107.123291 | 13,746,100 | 0.005857 
2018-11-14| 110.23 | 110.71 | 105.98 | 107.33 | 104.914169 | 18,361,400 | (0.020838)
2018-11-15| 108.24 | 110.08 | 106.81 | 110.07 | 107.592499 | 19,100,000 | 0.025208 
2018-11-16| 109.45 | 110.76 | 108.55 | 109.99 | 107.514297 | 13,798,600 | (0.000727)
2018-11-19| 109.96 | 111.20 | 109.53 | 110.83 | 108.335388 | 13,987,000 | 0.007608 
2018-11-20| 109.78 | 110.49 | 107.98 | 108.45 | 106.008949 | 18,936,200 | (0.021708)
2018-11-21| 109.03 | 109.61 | 107.64 | 107.64 | 105.217186 | 10,619,600 | (0.007497)
2018-11-23| 106.74 | 107.39 | 106.06 | 106.65 | 104.249474 | 6,488,400 | (0.009240)
2018-11-26| 107.72 | 109.98 | 107.45 | 109.26 | 106.800728 | 13,948,300 | 0.024178 
2018-11-27| 108.76 | 110.03 | 108.63 | 109.72 | 107.250374 | 9,238,200 | 0.004201 
2018-11-28| 109.80 | 111.40 | 108.87 | 110.94 | 108.442917 | 13,977,300 | 0.011058 
2018-11-29| 110.27 | 110.80 | 109.64 | 110.06 | 107.582718 | 11,144,300 | (0.007964)
2018-11-30| 109.85 | 111.32 | 109.58 | 111.19 | 108.687286 | 18,652,700 | 0.010215 
2018-12-03| 112.38 | 112.89 | 111.74 | 112.24 | 109.713646 | 16,034,500 | 0.009399 
2018-12-04| 111.60 | 111.60 | 106.73 | 107.23 | 104.816422 | 23,555,900 | (0.045663)
2018-12-06| 105.01 | 105.36 | 102.88 | 105.19 | 102.822342 | 27,213,900 | (0.019208)
2018-12-07| 105.16 | 106.98 | 102.91 | 103.29 | 100.965103 | 19,248,600 | (0.018228)
2018-12-10| 102.87 | 103.49 | 99.28 | 101.36 | 99.078545 | 23,636,400 | (0.018862)
2018-12-11| 103.13 | 103.66 | 100.21 | 100.37 | 98.110832 | 16,860,700 | (0.009815)
